Date,terminus,dec_yr
2002-02-01,0.45951859999999994,2002.0833329999998
2002-02-03,0.8052516409999999,2002.088889
2002-02-05,0.884026258,2002.094444
2002-02-07,0.8796498909999999,2002.1
2002-02-09,0.8796498909999999,2002.105556
2002-02-14,0.9496717720000001,2002.1194440000002
2002-02-17,1.024070022,2002.127778
2002-02-22,1.0196936540000001,2002.141667
2002-03-04,0.9496717720000001,2002.175
2002-03-05,1.0196936540000001,2002.1777780000002
2002-03-06,1.024070022,2002.1805559999998
2002-03-09,0.967177243,2002.188889
2002-03-10,0.9277899340000001,2002.1916670000003
2002-03-15,1.010940919,2002.205556
2002-03-16,1.024070022,2002.2083329999998
2002-03-17,0.9978118159999999,2002.2111109999998
2002-04-02,0.993435449,2002.252778
2002-04-07,1.024070022,2002.266667
2002-04-13,1.0065645509999999,2002.2833329999999
2002-04-20,0.989059081,2002.3027780000002
2002-04-24,0.9759299779999999,2002.313889
2002-04-25,0.967177243,2002.3166670000003
2002-04-26,0.9496717720000001,2002.3194440000002
2002-04-28,0.989059081,2002.325
2002-04-29,0.840262582,2002.327778
2002-04-30,0.827133479,2002.330556
2002-05-01,0.870897155,2002.3333329999998
2002-05-07,0.967177243,2002.35
2002-05-09,1.0065645509999999,2002.355556
2002-05-10,1.037199125,2002.358333
2002-05-12,0.980306346,2002.363889
2002-05-15,0.967177243,2002.372222
2002-05-16,0.962800875,2002.375
2002-05-17,0.989059081,2002.377778
2002-05-18,0.9496717720000001,2002.3805559999998
2002-05-29,0.827133479,2002.411111
2002-06-02,0.919037199,2002.419444
2002-06-04,0.919037199,2002.425
2002-06-13,0.8971553609999999,2002.45
2002-06-14,0.884026258,2002.452778
2002-06-15,0.93654267,2002.455556
2002-06-17,0.8971553609999999,2002.4611109999998
2002-06-19,0.853391685,2002.4666670000001
2002-06-20,0.822757112,2002.469444
2002-06-21,0.787746171,2002.4722219999999
2002-06-25,0.7177242890000001,2002.483333
2002-06-27,0.730853392,2002.488889
2002-07-02,0.884026258,2002.502778
2002-07-03,0.66083151,2002.5055559999998
2002-07-07,0.58643326,2002.516667
2002-07-08,0.5908096279999999,2002.519444
2002-07-09,0.8096280090000001,2002.5222219999998
2002-07-10,0.520787746,2002.525
2002-07-11,0.5908096279999999,2002.5277780000001
2002-07-12,0.56892779,2002.530556
2002-07-14,0.555798687,2002.536111
2002-07-15,0.58643326,2002.5388890000002
2002-07-16,0.5295404810000001,2002.5416670000002
2002-07-28,0.555798687,2002.575
2002-07-29,0.5295404810000001,2002.577778
2002-07-30,0.5295404810000001,2002.580556
2002-08-04,0.49890590799999995,2002.5916670000001
2002-08-05,0.446389497,2002.594444
2002-08-06,0.442013129,2002.5972219999999
2002-08-07,0.41575492299999994,2002.6
2002-08-08,0.433260394,2002.6027780000002
2002-08-09,0.45951859999999994,2002.605556
2002-08-10,0.490153173,2002.608333
2002-08-13,0.49890590799999995,2002.6166670000002
2002-08-14,0.49890590799999995,2002.6194440000002
2002-08-15,0.490153173,2002.622222
2002-08-16,0.49452954,2002.625
2002-08-17,0.507658643,2002.627778
2002-08-21,0.446389497,2002.638889
2002-08-26,0.560175055,2002.6527780000001
2002-08-30,0.555798687,2002.6638890000002
2002-09-03,0.582056893,2002.672222
2002-09-04,0.555798687,2002.675
2002-09-05,0.582056893,2002.6777780000002
2002-09-16,0.730853392,2002.7083329999998
2002-09-17,0.818380744,2002.7111109999998
2002-09-18,0.853391685,2002.713889
2002-09-22,0.743982495,2002.725
2002-09-25,0.818380744,2002.733333
2002-09-26,0.93654267,2002.736111
2002-09-29,0.56892779,2002.7444440000002
2002-10-12,0.695842451,2002.780556
2002-10-14,0.695842451,2002.786111
2002-10-15,0.748358862,2002.7888890000002
2002-10-16,0.66083151,2002.7916670000002
2002-10-17,0.669584245,2002.794444
2002-10-19,0.7133479209999999,2002.8
2002-10-20,0.669584245,2002.8027780000002
2002-10-21,0.730853392,2002.8055559999998
2002-10-23,0.6827133479999999,2002.811111
2002-10-24,0.827133479,2002.813889
2002-10-25,0.7177242890000001,2002.8166670000003
2002-10-26,0.787746171,2002.8194440000002
2002-10-27,0.7177242890000001,2002.8222219999998
2002-10-28,0.730853392,2002.825
2002-10-29,0.7396061270000001,2002.827778
2002-10-30,0.695842451,2002.830556
2002-10-31,0.7089715540000001,2002.8333329999998
2002-11-06,0.669584245,2002.8472219999999
2003-03-04,0.6652078770000001,2003.175
2003-03-06,0.67833698,2003.1805559999998
2003-03-07,0.669584245,2003.1833329999997
2003-03-09,0.652078775,2003.188889
2003-03-10,0.58643326,2003.1916670000003
2003-03-13,0.58643326,2003.2
2003-04-03,0.582056893,2003.2555559999998
2003-04-24,0.371991247,2003.313889
2003-05-04,0.38074398200000004,2003.3416670000001
2003-05-08,0.34135667399999997,2003.3527780000002
2003-05-11,0.33260393899999996,2003.361111
2003-05-12,0.560175055,2003.363889
2003-05-13,0.599562363,2003.3666670000002
2003-05-14,0.7089715540000001,2003.3694440000002
2003-05-17,0.621444201,2003.377778
2003-05-18,0.66083151,2003.3805559999998
2003-05-21,0.695842451,2003.388889
2003-05-22,0.743982495,2003.391667
2003-05-26,0.7571115970000001,2003.4027780000001
2003-05-29,0.7702406999999999,2003.411111
2003-05-30,0.743982495,2003.4138890000002
2003-05-31,0.7396061270000001,2003.4166670000002
2003-06-01,0.7396061270000001,2003.4166670000002
2003-06-02,0.730853392,2003.419444
2003-06-03,0.66083151,2003.422222
2003-06-06,0.691466083,2003.4305559999998
2003-06-07,0.700218818,2003.4333329999997
