ArcticDEM
SETSM_s2s041_W1W2_20100719_102001000D369100_103001000642F800_2m_lsf_seg1_dem
SETSM_s2s041_W2W2_20100807_10300100064FF300_1030010006CC4F00_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20110319_1020010011C67900_10200100119C8900_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20110412_103001000A3BD500_1030010009692200_2m_lsf_seg1_dem
SETSM_s2s041_W1W1_20110628_1020010013986E00_1020010014791700_2m_lsf_seg1_dem
SETSM_s2s041_W1W2_20110811_1020010015C57B00_103001000C031E00_2m_lsf_seg1_dem
SETSM_s2s041_W1W2_20110824_1020010014B58E00_103001000CD47500_2m_lsf_seg1_dem
SETSM_s2s041_W1W2_20110828_10200100151CA600_103001000DADA500_2m_lsf_seg1_dem
SETSM_s2s041_W1W2_20110828_10200100157A6E00_103001000DADA500_2m_lsf_seg1_dem
SETSM_s2s041_W1W1_20130422_1020010021080900_1020010021828800_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20140528_102001002E1EA600_102001002FAA2800_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20140509_103001003034CA00_103001003076FB00_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20140611_1030010032620600_103001003215F500_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20140702_1030010032192300_1030010033947500_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20140731_1020010031DF9D00_10200100304B0700_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20140817_10200100336AEA00_1020010032486B00_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20140906_1030010036122500_1030010036B67100_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20141016_1030010038B8DF00_10300100386D9600_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20160413_1030010056352C00_10300100545A3200_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20160513_102001005041F600_102001004FBF7200_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20160706_10200100509A8C00_1020010051707D00_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20160802_103001005A577000_103001005B74B700_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20170516_1030010069588100_1030010068709A00_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20170609_103001006A604D00_103001006B13C500_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20170907_10200100654EE300_1020010065D3E700_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20170912_103001007090A600_1030010072519D00_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20190615_1030010091B5A300_103001009136AD00_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20190829_102001008BD03400_102001008B8CF500_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20200518_10300100A5865500_10300100A5758200_2m_lsf_seg1_dem
SETSM_s2s041_WV01_20201018_102001009DE18700_102001009E703C00_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20210408_10300100BC97BF00_10300100BCB91700_2m_lsf_seg1_dem
SETSM_s2s041_WV02_20210715_10300100C2091100_10300100C268CC00_2m_lsf_seg1_dem
